repo_name,open_issues,closed_issues,total_issues
ably_ably-js,178,1859,2037
activepieces_activepieces,360,6754,7114
adaptlearning_adapt_framework,39,3528,3567
adobe_spectrum-web-components,182,5247,5429
ajayyy_sponsorblock,352,1835,2187
alephdata_aleph,338,3832,4170
alfio-event_alf.io,186,1189,1375
altair-graphql_altair,48,2734,2782
amark_gun,312,1078,1390
ambiretech_wallet,3,9,12
ant-media_ant-media-server,1244,5373,6617
apache_activemq-artemis,25,5681,5706
apache_archiva,34,100,134
apache_camel-quarkus,348,2400,2748
apache_helix,59,2983,3042
apache_hop,807,4373,5180
apache_incubator-hop,807,4373,5180
apache_incubator-streampipes,153,3307,3460
apache_jena,106,3057,3163
apache_myfaces,4,880,884
apache_netbeans,988,7128,8116
apache_nifi,26,9924,9950
apache_roller,4,138,142
apache_streampipes,153,3307,3460
appfuse_appfuse,0,24,24
argos-ci_argos,18,1616,1634
artilleryio_artillery,475,1876,2351
athou_commafeed,34,1665,1699
atlasmap_atlasmap,154,4400,4554
audiusproject_audius-client,8,4061,4069
audiusproject_audius-protocol,53,12144,12197
automattic_jetpack,2743,40511,43254
automattic_sensei,652,7050,7702
automattic_vip-go-mu-plugins,16,6282,6298
automattic_woocommerce-payments,569,10147,10716
azerothcore_keira3,94,3218,3312
AztecProtocol_aztec-packages,1137,13376,14513
azure_azure-sdk-tools,1395,9283,10678
backstage_backstage,477,28299,28776
badges_shields,386,10495,10881
bbc_simorgh,60,12659,12719
beanstalkfarms_beanstalk,9,1156,1165
bemusic_bemuse,35,793,828
bigcapitalhq_bigcapital,141,639,780
blazemeter_taurus,48,1842,1890
bpatrik_pigallery2,177,680,857
bram2w_baserow,27,32,59
brimdata_brim,293,2761,3054
brimdata_zui,293,2761,3054
brimsec_brim,293,2761,3054
brndnmtthws_conky,84,1973,2057
build-canaries_nevergreen,15,360,375
camunda_camunda-bpm-platform,963,4137,5100
cantaloupe-project_cantaloupe,93,589,682
casbin_casdoor,118,3444,3562
chatwoot_chatwoot,973,9465,10438
chia-network_chia-blockchain-gui,38,2541,2579
cmsgov_design-system,17,3475,3492
cockroachdb_cockroach,7061,139981,147042
codenvy_codenvy,235,2567,2802
codyogden_killedbygoogle,59,1510,1569
common-voice_common-voice,384,4497,4881
commudle_commudle-ng,41,1838,1879
compiler-explorer_compiler-explorer,836,6800,7636
conductor-oss_conductor,84,384,468
contentful_contentful.js,34,2479,2513
coopcycle_coopcycle-web,501,4399,4900
cornerstonejs_cornerstone3d,322,1764,2086
dallinger_dallinger,358,7380,7738
dbt-labs_docs.getdbt.com,194,7009,7203
dcloudio_uni-app,738,4620,5358
determined-ai_determined,101,10114,10215
dhis2_dhis2-core,45,20980,21025
dotansimha_graphql-code-generator,624,8672,9296
duckduckgo_duckduckgo-privacy-extension,141,2810,2951
ecamp_ecamp3,250,7205,7455
eclipse-ee4j_jakartaee-tck,27,2318,2345
eclipse_vorto,175,2627,2802
enmasseproject_enmasse,166,5176,5342
erxes_erxes,472,5478,5950
exogee-technology_graphweaver,17,1780,1797
expo_expo,744,34986,35730
fabricjs_fabric.js,460,8909,9369
facebookresearch_mephisto,74,1191,1265
facebook_create-react-app,2317,10381,12698
facebook_lexical,504,6436,6940
facebook_react,1052,24500,25552
faker-js_faker,118,3267,3385
fallenbagel_jellyseerr,200,1282,1482
fastmail_overture,7,47,54
finos_datahelix,44,1662,1706
finos_waltz,376,6909,7285
FlowiseAI_Flowise,597,0,597
fossbilling_fossbilling,205,2517,2722
frontarm_create-universal-react-app,15,12,27
galoymoney_galoy,127,4678,4805
gerbera_gerbera,67,3217,3284
